,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
1135,383 Brick Blvd,Natures Nutrition,Ocean,B,0.0,201433.6545,33.0,4.9,49,44511007,1,0.0,258600,"5,000 - 9,999",6,52010.14545,600689.8727
1136,745 Newark Ave,New Hilsa Grocery Store,Hudson,C,0.0,97177.64201,30.0,4.4,200,44511003,1,0.0,230500,"1,500 - 2,499",39,65296.05455,685991.5091
1137,1935 Greenwood Ave,New Jersey African-Carribean,Mercer,C+,0.0,112471.5628,162.0,4.5,39,44511003,1,0.0,234667,"1 - 1,499",8,69383.27273,370297.8364
1138,415 Ocean Ave,Ocean Grocery & Chicken LLC,Hudson,C+,0.0,194355.28399999999,4.0,4.8,166,72231009,1,0.0,54250,"1 - 1,499",21,65296.05455,685991.5091
1139,516 Main St,Olive May Health Foods,Essex,B,0.0,140182.1575,55.0,4.1,92,44511003,1,0.0,242750,"1 - 1,499",15,67268.47273,799220.5636
1140,53 Palmer Sq W,Olson's Fine Foods,Mercer,B,0.0,337414.6884,50.0,4.7,11,44511003,1,0.0,234556,"5,000 - 9,999",7,69383.27273,370297.8364
1141,107 Route 50,Om Oasis Market Inc,Cape May,C+,0.0,171046.7346,54.0,4.5,10,44512001,1,0.0,408200,"2,500 - 4,999",2,61476.94545,92193.6
1142,333 Sicklerville Rd,One Stop Shoppe,Camden,C+,0.0,81897.89896,12.0,4.1,32,44512001,1,0.0,221500,"1,500 - 2,499",11,54218.50909,505016.4182
1143,219 Kinderkamack Rd,Oradel Mini Market & Deli,Bergen,B,0.0,162475.4147,17.0,2.8,9,44512001,1,0.0,252667,"1 - 1,499",19,85629.45455,942512.0545
1144,68 S 30th St,Otala Grocery Store,Camden,B,0.0,122846.8484,17.0,4.1,69,44511003,1,0.0,221667,"1,500 - 2,499",29,54218.50909,505016.4182
1145,1009 Pacific Ave,Pacific Food Market,Atlantic,C+,0.0,111641.229,6.0,2.2,159,44511003,1,0.0,264667,"1 - 1,499",3,48563.56364,266207.8
1146,105 Park Ave # 1,Park Avenue Foodmarket,Essex,C+,0.0,70091.07877000001,273.0,4.7,158,44511003,1,0.0,243000,"1 - 1,499",17,67268.47273,799220.5636
1147,700 Black Horse Pike,Patels Grocery,Atlantic,C,0.0,74427.48599,109.0,3.9,59,44511003,1,0.0,264500,"2,500 - 4,999",7,48563.56364,266207.8
1148,3005 Atlantic Ave,Pattys Farm Market,Atlantic,C+,0.0,74427.48599,5.0,4.6,159,44511003,1,0.0,264500,"1,500 - 2,499",3,48563.56364,266207.8
1149,990 S West Blvd,Penalvert's Food Market,Cumberland,C+,0.0,114712.2516,186.0,4.6,92,44511003,1,0.0,238667,"1 - 1,499",8,40115.8,151919.2
1150,323 E Jimmie Leeds Rd,Pitney Italian Mkt,Atlantic,C+,0.0,74427.48599,42.0,4.7,32,44511003,1,0.0,264500,"2,500 - 4,999",4,48563.56364,266207.8
1151,144 Philadelphia Ave,Plaza Mexicana LLC,Atlantic,C,0.0,74427.48599,10.0,4.3,20,44511003,1,0.0,264500,"1 - 1,499",0,48563.56364,266207.8
1152,962 County Rt 517,Pochuck Valley Farm Market,Sussex,B,0.0,165510.0889,179.0,4.5,2,45322012,1,0.0,85600,"1,500 - 2,499",1,61649.29091,139335.0
1153,452 W Side Ave,Primicia LA,Hudson,C,0.0,48588.82101,323.0,4.0,118,44511003,1,0.0,231000,"1 - 1,499",32,65296.05455,685991.5091
1154,1054 Delsea Dr,Puff N Go,Gloucester,U,0.0,83017.30907,6.0,2.7,20,44512001,1,0.0,159000,"1,500 - 2,499",23,54928.127270000005,292277.1455
1155,600 Highland Dr # 602,Purest Colloids,Burlington,B,0.0,429714.4006,2.0,4.0,43,44511003,1,0.0,236333,"2,500 - 4,999",6,62081.527270000006,445855.6545
1156,1935 Swarthmore Ave # 1,Quality Provision,Ocean,C,0.0,80573.46178,8.0,4.3,84,44511003,1,0.0,259000,"2,500 - 4,999",10,52010.14545,600689.8727
1157,814 Amboy Ave,Quick Stop Deli,Middlesex,C+,0.0,81947.3414,76.0,4.9,98,44511003,1,0.0,229000,"1 - 1,499",12,61266.49091,835785.1818
1158,179 Goffle Rd,Quick Stop Ready Mix Concrete,Passaic,C+,0.0,79662.6647,5.0,4.2,13,44512001,1,0.0,208000,"1,500 - 2,499",18,51091.4,506323.1818
1159,1 Randolph St # B,Quick Strip LLC,Middlesex,C,0.0,81947.3414,43.0,5.0,28,44512001,1,0.0,229000,"1 - 1,499",18,61266.49091,835785.1818
1160,100 Schuyler Ave,Quick Trip,Hudson,C+,0.0,97177.64201,1.0,1.0,47,44719005,1,0.0,1514500,"1 - 1,499",20,65296.05455,685991.5091
1161,280 Closter Dock Rd,Rainbow Food,Bergen,C+,0.0,108316.9431,40.0,4.5,11,44511003,1,0.0,252500,"1 - 1,499",13,85629.45455,942512.0545
1162,182 Sherman St,Raul Grocery,Passaic,C+,0.0,79662.6647,8.0,4.8,250,44511003,1,0.0,208000,"1,500 - 2,499",29,51091.4,506323.1818
1163,116 Broughton Ave,Royal India Catering & Grocery,Essex,B,0.0,140182.1575,542.0,4.1,78,44511003,1,0.0,242750,"1 - 1,499",25,67268.47273,799220.5636
1164,7609 Broadway,Rt Grocery,Hudson,C+,0.0,97177.64201,3.0,4.7,99,44511003,1,0.0,230500,"1,500 - 2,499",55,65296.05455,685991.5091
1165,35 Robbinsville Allentown Rd,Russert's Deli & Food Market,Mercer,B,0.0,224943.1256,11.0,4.6,16,44529902,1,0.0,81000,"1,500 - 2,499",6,69383.27273,370297.8364
1166,7514 Tonnelle Ave,Ryders Stop,Hudson,C+,0.0,145766.46300000002,5.0,4.0,99,44512001,0,0.0,230667,"1,500 - 2,499",55,65296.05455,685991.5091
1167,325 E Jimmie Leeds Rd # 1,Santori's Produce & Deli Mkt,Atlantic,B+,0.0,223282.458,323.0,4.6,32,31161103,1,0.0,532500,"10,000 - 19,999",4,48563.56364,266207.8
