Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,Year
57 Franklin St,Food Express Inc,Bergen,B,0,216633.8863,4,4,21,44511002,0,0,252500,"1,500 - 2,499",25,85629.45455,942512.0545,2019
134 Vreeland Ave,George Pandel Grocery,Bergen,C+,-0.25,86734.30601,340,4.1,6,44511003,0,-0.16,252500,"1,500 - 2,499",29,71679,920203,2013
29 W Main St,J & A Food Market,Union,C+,-0.25,67995.60369,20,4.4,50,44511003,0,-0.16,240500,"1,500 - 2,499",25,56129,546237,2013
664 S Main St,Hoser Farm,Warren,C,0,28694.48238,20,4.4,4,44511003,0,0.12,235000,"1,500 - 2,499",3,47609,106903,2013
187 Parker Ave,Abel Mini Market,Passaic,C+,-0.25,66676.2197,20,4.4,250,44511003,0,-0.16,208000,"1,500 - 2,499",29,43383,504006,2013
18 Jagged Rock Rd,Market Safety Research,Morris,C+,0,107678.488,20,4.4,60,44511003,0,0.12,264500,"1 - 1,499",13,80805,496114,2013
325 Princeton Hightstown Rd,Yash Auto Svc,Mercer,C,0,74981.04188,9,4.4,7,44719005,0,0,1229500,"1 - 1,499",4,69383.27273,370297.8364,2019
14 Blue Devil Ln,Deutsch Enterprises,Mercer,B,0,164691.075,20,4.4,30,44511003,0,0.12,234600,"1,500 - 2,499",13,58083,369517,2013
401 Hamburg Tpke # 210,Metropolitan Food Systems,Passaic,B,1,100014.3295,20,4.4,56,44511002,0,1.25,207667,"1 - 1,499",12,43383,504006,2013
6 Casson Ln,Optimal Trip,Passaic,C+,0,66676.2197,20,4.4,35,44512001,0,0.24,208000,"1 - 1,499",17,43383,504006,2013
333 Grand St,Punto Fijo Deli & Grocery Inc,Passaic,C,0,33338.10985,20,4.4,37,72251117,0,-0.72,55000,"1 - 1,499",18,43383,504006,2013
326 US Highway 46,Himi Inc,Morris,C+,0,161517.7319,20,4.4,2,44719005,0,0.49,1259000,"1 - 1,499",8,80805,496114,2013
5208 Palisade Ave,Mar Brothers,Hudson,C+,2.75,79752.99591,20,4.4,149,44511003,0,3.22,230500,"1,500 - 2,499",59,49075,657217,2013
650 Franklin Blvd,Franklin Food Mart,Somerset,B,0,269215.4097,1,1,81,44719005,0,0,1131167,"1 - 1,499",10,88350,329678,2015
365 New Brunswick Ave,7-Eleven,Middlesex,B,0,268640.6598,9,1.8,98,44512001,0,0,229000,"2,500 - 4,999",12,54971,825867,2015
808 Stuyvesant Ave,Herrera Mini Market,Mercer,B,0.67,108331.4043,20,4.4,50,44511003,0,0.67,234667,"1,500 - 2,499",6,63470,368352,2015
67 Franklin St # 14,Marina's Food Store,Essex,C,0,31595.76425,4,4,78,44511003,0,0,243000,"1 - 1,499",25,60836,790508,2015
3151 State Route 27 # A,Great Wall Supermarket,Somerset,C+,0,99689.01995,7,4.1,13,44511003,0,0,229500,"2,500 - 4,999",0,104293.2182,333893.1455,2019
115 Stryker Ln # 4,Sultan Foods Inc,Somerset,C+,0,86875.54447,20,4.4,24,44511002,0,7.12,229500,"1,500 - 2,499",3,83433,329342,2014
5106 Bergenline Ave,Annie's Quick Stop LLC,Hudson,C+,0,97177.64201,1,1,149,44512001,0,0,230500,"1,500 - 2,499",59,65296.05455,685991.5091,2019
329 2nd Ave W,KNJ Mini Mart,Essex,C+,0,63191.52849,1,5,108,44512001,0,0,243000,"1,500 - 2,499",17,60836,790508,2015
486 State Route 57 W,Sun Food Mart,Warren,C+,0,153212.5828,4,4,23,72251117,0,0,53400,"1,500 - 2,499",1,51010,106748,2015
170 Market St,"Rodriguez, Victor",Passaic,C,-0.33,74360.09104,20,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770,503853,2016
200 Mounts Corner Dr,Top Tomato,Monmouth,C+,0,106978.2354,11,3.2,86,44511003,0,0,229000,"1 - 1,499",10,70610,624320,2015
1105 Main St,Tapia Grocery,Passaic,C+,0,79662.6647,1,2,65,44511003,0,0,208000,"1,500 - 2,499",24,51091.4,506323.1818,2019
104 S Main St,Blitzs Market,Cape May,C,1.5,65099.97513,20,4.4,18,44511003,0,1.5,408500,"1,500 - 2,499",2,55995,93679,2016
91 Quincy Ave,Food Associates Co,Hudson,B,-0.25,125481.2438,20,4.4,47,44511002,0,-0.25,230667,"1,500 - 2,499",20,58466,668928,2016
1505 Summit Ave # A,"Ethan, Melissa",Hudson,C,-0.33,83654.16252,2,3.5,210,44511003,0,-0.33,230500,"1,500 - 2,499",55,58466,668928,2016
5900 Hudson Ave,Camila's Deli Grocery,Hudson,C+,-0.33,83654.16252,2,4,149,44511003,0,-0.33,230500,"1,500 - 2,499",59,58466,668928,2016
206 Lakeview Ave,Clifton Food Mart,Passaic,C+,-0.33,74360.09104,20,4.4,77,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770,503853,2016
54 Florence Ave,D & S Grocery,Essex,C+,-0.33,66893.91315,20,4.4,220,44511003,0,-0.33,243000,"1 - 1,499",26,62253,792617,2016
87 Fabyan Pl,Fabyan Place Grocery LLC,Essex,C+,-0.33,66893.91315,20,4.4,80,44511003,0,-0.33,243000,"1,500 - 2,499",24,62253,792617,2016
1075 Grove St,Feliz Suriel Grocery,Essex,C+,-0.33,66893.91315,1,3,220,44511003,0,-0.33,243000,"1,500 - 2,499",26,62253,792617,2016
1801 Route 37 E,Floyd's,Ocean,C+,-0.4,220934.0119,20,4.4,79,72251117,0,-0.4,52833,"1,500 - 2,499",8,48490,590990,2016
317 Lake St,J M Supermarket,Essex,C,-0.33,66893.91315,20,4.4,158,44511003,0,-0.33,243000,"1,500 - 2,499",17,62253,792617,2016
10 E 21st St,Jaloon Specialty Foods,Hudson,C+,-0.4,125481.2438,20,4.4,106,44511002,0,-0.4,230667,"1,500 - 2,499",18,58466,668928,2016
444 Central Ave,Kas Supermarket,Essex,C+,-0.33,66893.91315,20,4.4,108,44511003,0,-0.33,243000,"1,500 - 2,499",17,62253,792617,2016
801 E 6th St,Leapy Grocery,Union,C+,-0.33,72034.57505,1,5,19,44511003,0,-0.33,240500,"1,500 - 2,499",15,62526,553343,2016
171 Passaic St,Los Tres Garcias Grocery,Passaic,C,-0.33,74360.09104,20,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770,503853,2016
599 Kennedy Blvd # A,M J Grocery,Hudson,C+,-0.33,83654.16252,20,4.4,106,44511003,0,-0.33,230500,"1,500 - 2,499",18,58466,668928,2016
1815 Kerrigan Ave,Nia's Grocery,Hudson,C,0,41827.08126,4,3.8,210,44511003,0,0,231000,"1,500 - 2,499",55,58466,668928,2016
56 W Main St,R J Super Market,Bergen,C+,-0.33,99004.01182,20,4.4,6,44511003,0,-0.33,252500,"1,500 - 2,499",27,79145,928979,2016
977 Bergen St,Ruby Grocery,Essex,C+,-0.33,66893.91315,20,4.4,80,44511003,0,-0.33,243000,"1,500 - 2,499",24,62253,792617,2016
930 E Grand St,Torres Grocery,Union,C+,-0.33,72034.57505,1,1,122,44511003,0,-0.33,240500,"1,500 - 2,499",25,62526,553343,2016
110 Columbia Ave,Trebol Food Market,Passaic,C+,-0.33,74360.09104,20,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770,503853,2016
168 Valley Blvd,Aksharpati Corp,Bergen,C,0,51606.54496,20,4.4,6,44511003,0,-0.09,253000,"1,500 - 2,499",34,81483,933569,2017
391 Somerset St,Jg Grocery,Somerset,C+,0,95298.27651,20,4.4,81,44511003,0,-0.17,229500,"1,500 - 2,499",10,99533,330700,2017
200 N Black Horse Pike,Roxy's Old Time Deli,Gloucester,C+,-0.33,79666.26606,20,4.4,32,44512001,0,0.54,159000,"1,500 - 2,499",5,52455,290850,2017
765 E 18th St,Arias Minimarket & Deli,Passaic,C,0,77659.35378,20,4.4,180,44512001,0,-0.25,208000,"1 - 1,499",20,48294,503694,2017
594 21st Ave,Food Market LLC,Passaic,C+,2.5,77659.35378,20,4.4,30,44511003,0,18.82,208000,"1,500 - 2,499",18,48294,503694,2017
1031 S Orange Ave,Frederick's Supermarket,Essex,C+,0,73803.35645,20,4.4,90,44511003,0,-0.12,243000,"1,500 - 2,499",22,64232,795908,2017
402 10th Ave,Gonzales Grocery,Passaic,C+,0,77659.35378,20,4.4,59,44511003,0,-0.25,208000,"1,500 - 2,499",21,48294,503694,2017
96 Elwood Ave,Ing Grocery,Essex,C+,0,73803.35645,2,1.5,158,44511003,0,-0.12,243000,"1,500 - 2,499",17,64232,795908,2017
225 S Olden Ave,K2K Food Market Inc,Mercer,C+,0,70770.75557,6,4,17,44511003,0,-0.15,234500,"1,500 - 2,499",8,65877,368602,2017
163 Main St,Modern Bazaar,Bergen,C+,0,103213.0899,20,4.4,79,44511003,0,-0.09,252500,"1,500 - 2,499",23,81483,933569,2017
621 Executive Dr,Newmarket Pharmaceuticals LLC,Somerset,C+,0,142947.4148,20,4.4,35,44511003,0,-0.17,229333,"1,500 - 2,499",7,99533,330700,2017
401 Piaget Ave,Village News,Passaic,C,-0.5,38829.67689,4,5,77,44512001,0,-0.63,208000,"1,500 - 2,499",29,48294,503694,2017
105 Cedarbridge Ave # C,Center Deli,Ocean,B,0,385594.0352,1,5,84,72251117,0,-0.23,52800,"1,500 - 2,499",10,49749,595470,2017
297 Van Houten St,E & L Deli Grocery,Passaic,U,0,38829.67689,20,4.4,180,72251117,0,-0.19,55000,"1 - 1,499",20,48294,503694,2017
1511 43rd St,Eugenio J De LA Cruz,Hudson,C,0,94813.59742,20,4.4,99,44512001,0,-0.17,230500,"1 - 1,499",55,62461,672922,2017
624 N State Rt 17,Hofa Market LLC,Bergen,C+,0,103213.0899,20,4.4,35,44511003,0,-0.09,252500,"1,500 - 2,499",22,81483,933569,2017
2113 Springfield Ave # A,J & M Deli & Grocery,Union,C,0,35737.50756,20,4.4,10,44511003,0,-0.13,241000,"1,500 - 2,499",22,65036,555273,2017
244 Park Ave,LA Doninicana III,Essex,B,0,110705.0347,20,4.4,92,44511003,0,-0.13,242667,"1 - 1,499",16,64232,795908,2017
783 Fischer Blvd,Magic Convenience,Ocean,C+,0,77118.80704,20,4.4,79,44512001,0,-0.07,259000,"1 - 1,499",8,49749,595470,2017
1 Evergreen Pl,Marsh Supermarkets Inc,Morris,C+,0,156698.6965,20,4.4,45,44511003,0,-0.05,264333,"1,500 - 2,499",11,93555,494225,2017
17 Arctic Pkwy,Big Bear Natrl Foods Inc Of Nj,Mercer,B,0,103575.7069,8,3.8,43,44511003,0,0,234667,"1 - 1,499",6,62018,369017,2014
284 Somerset St,Family Delight Grocery Store,Middlesex,C+,0,79008.50717,20,4.4,93,44511003,0,-0.17,229000,"1,500 - 2,499",20,58172,827684,2017
28 W Grand Ave # 6,Food Specialties,Bergen,C+,0,154819.6349,20,4.4,20,72232001,0,-0.08,63333,"1 - 1,499",13,81483,933569,2017
92 Lindsley Ave,L B's Variety,Essex,C,0,73803.35645,20,4.4,90,44512001,0,-0.12,243000,"1,500 - 2,499",22,64232,795908,2017
301 N Harrison St # 51b,Main Street Euro-Amer Bistro,Mercer,A,0,1203102.845,20,4.4,35,72251117,0,-0.12,60235,"5,000 - 9,999",7,65877,368602,2017
2047 N Riverside Dr,Marsh Supermarket,Atlantic,C,0,68416.03719,20,4.4,159,44511003,0,-0.05,264500,"1,500 - 2,499",3,46549,266328,2017
5504 Bergenline Ave,Super Sale Inc,Hudson,C+,0,94813.59742,20,4.4,149,44512001,0,-0.17,230500,"1,500 - 2,499",59,62461,672922,2017
1216 W Front St,Carnita Mini Market,Union,C+,0,71475.01512,1,3,17,44512001,0,-0.13,240500,"1,500 - 2,499",16,65036,555273,2017
24 Franklin Ave,Gourmet Store,Bergen,C+,0,103213.0899,20,4.4,14,44511003,0,-0.09,252500,"1,500 - 2,499",14,81483,933569,2017
498 Ocean Ave,Just Groceries,Hudson,C+,0,94813.59742,6,3.8,166,72251117,0,-0.2,54500,"1 - 1,499",21,62461,672922,2017
26 Journal Sq # 1c,Sunny's Cafe,Hudson,B,0,142220.3961,20,4.4,200,44511003,0,-0.17,230667,"1,500 - 2,499",39,62461,672922,2017
399 Dover Rd # 1a,All American Dell,Ocean,B,0,192797.0176,20,4.4,10,44512001,0,-0.07,258600,"2,500 - 4,999",6,49749,595470,2017
657 Jackson Ave,Beira Centro Supermarket,Union,C+,0,71475.01512,20,4.4,122,44511003,0,-0.13,240500,"1 - 1,499",25,65036,555273,2017
1450 Route 532 # A,Convenience Store,Burlington,C+,0,92617.58581,20,4.4,0,44512001,0,-0.15,236500,"1,500 - 2,499",0,59389,445196,2017
86 Anderson St,Century Food Market Inc,Bergen,C+,0,103213.0899,20,4.4,79,44511003,0,-0.09,252500,"1 - 1,499",23,81483,933569,2017
526 21st St,Green Tomato,Hudson,C,0,47406.79871,1,5,210,72251117,0,-0.19,55000,"1 - 1,499",55,62461,672922,2017
265 S Orange Ave,Idalis Food Market,Essex,C+,0,73803.35645,20,4.4,119,44511003,0,-0.13,243000,"1,500 - 2,499",15,64232,795908,2017
25 Howe Ave # 2,Pinos Market Grill,Passaic,C+,0,77659.35378,20,4.4,250,44511003,0,-0.25,208000,"1,500 - 2,499",29,48294,503694,2017
299 Jackson Rd # F,Atco Cold Cuts,Camden,C,0,78487.77808,20,4.4,9,81211202,0,0.01,45000,"1 - 1,499",3,51852,506343,2017
14 S 2nd Ave,B-B-Big Food Mart Inc,Middlesex,B,0,118512.7608,2,5,12,44512001,0,0,229000,"1,500 - 2,499",19,58172,827684,2017
181 Spring St,Brothers Store,Union,C+,0,71475.01512,20,4.4,122,44511003,0,-0.13,240500,"1,500 - 2,499",25,65036,555273,2017
16 Manor Rd,J & M Gourmet Foods,Morris,C+,0,156698.6965,20,4.4,20,44511002,0,-0.05,264333,"1,500 - 2,499",13,93555,494225,2017
195 Browertown Rd,Nicholas Markets,Passaic,B,0,271807.7382,5,4.6,48,44511003,0,-0.25,207571,"2,500 - 4,999",19,48294,503694,2017
Broad & Bnk,Wawa Food Market,Cape May,B,0,342445.5855,361,3.9,21,72251117,0,0,55417,"2,500 - 4,999",5,43247,97238,2009
264 Main St,Circle P Food Store,Bergen,C+,0,54158.47157,10,4.2,10,44512001,1,0,253000,"1 - 1,499",20,85629.45455,942512.0545,2019
264 Main St,Circle P Food Store,Bergen,C+,0,54158.47157,10,4.2,10,44512001,1,0,253000,"1 - 1,499",20,85629.45455,942512.0545,2019
196 Paterson Ave # 202,Clc Gourmet Foods Inc,Bergen,C+,0,108316.9431,1,5,23,44511003,1,0,252500,"2,500 - 4,999",28,85629.45455,942512.0545,2019
31 Clinton St,Clinton News,Essex,C+,0,70091.07877,3,5,74,44512001,1,0,243000,"2,500 - 4,999",17,67268.47273,799220.5636,2019
941 Atlantic City Blvd,Coastal Mini Mart,Ocean,C+,0,80573.46178,14,4.6,17,44512001,1,0,259000,"1 - 1,499",6,52010.14545,600689.8727,2019
10 E Black Horse Pike # 1,Collings Lake Food Mart,Atlantic,C,0,74427.48599,16,3.9,32,44512001,1,0,264500,"1,500 - 2,499",5,48563.56364,266207.8,2019
120 Rhode Island Ave,Corner Store,Essex,C,0,35045.53939,22,3.6,92,44511003,1,0,243000,"1 - 1,499",15,67268.47273,799220.5636,2019
1320 Sea Girt Ave,Country Farms,Monmouth,C,0,76248.34021,7,4.4,5,44512001,1,0,229000,"1,500 - 2,499",10,79548.29091,621279.6364,2019
193 Route 70,Country Farms,Ocean,C+,0,80573.46178,1,5,32,44512001,1,0,259000,"1 - 1,499",8,52010.14545,600689.8727,2019
811 W Main St,Criollo's Latin Cuisine,Cumberland,U,0,191187.0861,146,4.7,35,72251117,1,0,47600,"1,500 - 2,499",4,40115.8,151919.2,2019
147 W Delaware Ave,Cugino's Italian Specialties,Mercer,C+,0,187452.6047,124,4.8,13,72232001,1,0,60400,"1 - 1,499",3,69383.27273,370297.8364,2019
76 Remsen Ave,Daisey Food Market,Middlesex,B+,0,204868.3535,74,3.9,93,44511003,1,0,229000,"1,500 - 2,499",20,61266.49091,835785.1818,2019
490 Broad St,Dean's Natural Food Market,Monmouth,B+,0,571862.5516,137,4.5,8,44511003,1,0,229000,"5,000 - 9,999",11,79548.29091,621279.6364,2019
25 Mountainview Blvd,Dean's Natural Market,Somerset,B+,0,996890.1995,138,4.5,14,44619103,1,0,136550,"40,000 - 99,999",4,104293.2182,333893.1455,2019
10 New St,Deli Delight,Middlesex,B,0,163894.6828,4,4,23,72251117,1,0,59750,"1 - 1,499",23,61266.49091,835785.1818,2019
33 South St,Diami Grocery,Essex,C+,0,70091.07877,1,5,74,44511003,0,0,243000,"1,500 - 2,499",17,67268.47273,799220.5636,2019
216 E Mcfarlan St # 1,Dover Plaza Market,Morris,C+,0,104194.4848,20,4.6,23,44511003,1,0,264500,"1 - 1,499",10,99047.49091,495913.1091,2019
415 Commerce Ln # 3,E Z Pantry,Camden,B+,0,327591.5959,1,5,12,44511003,1,0,221500,"1,500 - 2,499",7,54218.50909,505016.4182,2019
415 Commerce Ln # 3,E Z Pantry,Camden,B+,0,327591.5959,1,5,12,44511003,1,0,221500,"1,500 - 2,499",7,54218.50909,505016.4182,2019
1427 Saint George Ave,Eagle Supermarket,Union,C+,0,73712.72353,219,3.9,43,44511003,1,0,240500,"1,500 - 2,499",32,68219,562057.7636,2019
179 Catherine St,Edwin's Supermarket,Union,B,0,110569.0853,3,5,122,44511003,1,0,240333,"1 - 1,499",25,68219,562057.7636,2019
223 Atlantic City Blvd,El Cerrito,Ocean,C,0,40286.73089,16,4.6,7,44511003,1,0,259000,"1 - 1,499",7,52010.14545,600689.8727,2019
17 S Broad St,El Manantial,Gloucester,U,0,41508.65453,295,4.3,55,72232001,1,0,61000,"1 - 1,499",17,54928.12727,292277.1455,2019
1370 Springfield Ave,El Surtido Ecuatoriano,Essex,C+,0,70091.07877,4,4,220,44511003,1,0,243000,"1,500 - 2,499",26,67268.47273,799220.5636,2019
1897 Woodbridge Ave,El Tropical Meat & Groceries,Middlesex,C+,0,122921.0121,5,4.8,82,51731214,1,4.15625,990000,"1,500 - 2,499",22,61266.49091,835785.1818,2019
112 Wilson Ave,Emporium 112 Super,Essex,B,0,140182.1575,171,4.5,106,44511003,1,0,242750,"1 - 1,499",19,67268.47273,799220.5636,2019
1422 Bergen Blvd,Enzo's Market,Bergen,C+,0,108316.9431,87,4.7,44,44511003,1,0,252500,"1,500 - 2,499",40,85629.45455,942512.0545,2019
725 State St,Espinosa Market,Middlesex,C+,0,81947.3414,23,4.7,98,44511003,1,0,229000,"1 - 1,499",12,61266.49091,835785.1818,2019
115 Monticello Ave,Exito Fresh Market,Hudson,C,0,97177.64201,261,3.8,118,44511003,1,0,230500,"1,500 - 2,499",32,65296.05455,685991.5091,2019
1528 Monroe Ave,Express Deli & Grocery LLC,Monmouth,C+,0,114372.5103,5,4.2,55,44511003,1,0,229000,"1 - 1,499",8,79548.29091,621279.6364,2019
171 Eagle Rock Ave,Fairchilds,Essex,A,0,700910.7877,190,4.3,10,44511003,1,0,242650,"20,000 - 39,999",12,67268.47273,799220.5636,2019
867 Stuyvesant Ave,Family Grocery Fortuna,Essex,C+,0,70091.07877,4,4.8,220,44511003,1,0,243000,"1,500 - 2,499",26,67268.47273,799220.5636,2019
7 Peter Rd,Fast Break Basketball Camp LLC,Passaic,C+,0,79662.6647,1,3,10,44511003,1,0,208000,"1,500 - 2,499",1,51091.4,506323.1818,2019
634 Whittaker Ave,Fernandez Supermarket-Trenton,Mercer,B,0,112471.5628,384,4.3,78,44511003,1,0,234667,"1 - 1,499",8,69383.27273,370297.8364,2019
800 S Burnt Mill Rd,Fieni's Ristorante,Camden,B+,0,409489.4948,315,4.6,23,72251117,1,0,51800,"1,500 - 2,499",18,54218.50909,505016.4182,2019
683 Newark Ave,Filstop,Hudson,B,0,194355.284,429,4.4,200,72251117,0,0,54250,"1 - 1,499",39,65296.05455,685991.5091,2019
1400 Burnet Ave,Fior D Italia,Union,B,0,147425.4471,67,4.3,71,72251115,1,0,59500,"1 - 1,499",29,68219,562057.7636,2019
538 Lakehurst Rd,Five Star Deli & Grill,Burlington,B,0,238730.2226,1,5,12,44512001,1,3.402985075,236400,"1,500 - 2,499",1,62081.52727,445855.6545,2019
683 Newark Ave,Filstop,Hudson,B,0,194355.284,429,4.4,200,72251117,0,0,54250,"1 - 1,499",39,65296.05455,685991.5091,2019
1400 Burnet Ave,Fior D Italia,Union,B,0,147425.4471,67,4.3,71,72251115,1,0,59500,"1 - 1,499",29,68219,562057.7636,2019
1 Blue Hill Plz,Food City Markets Inc,Bergen,C,0,108316.9431,20,4.4,12,44511003,0,0,252500,"1,500 - 2,499",28,85629.45455,942512.0545,2019
75b 1st St,Food Depot,Essex,C+,0,70091.07877,322,4,108,44511003,1,0.497942387,243000,"1,500 - 2,499",17,67268.47273,799220.5636,2019
407 Princeton Ave,Food Ex,Ocean,C+,0,80573.46178,158,4.3,84,44511003,1,0,259000,"1 - 1,499",10,52010.14545,600689.8727,2019
202 Broad St,Food Express,Union,C+,0,73712.72353,16,2.6,15,44511003,1,0,240500,"1 - 1,499",17,68219,562057.7636,2019
235 Paterson Ave,Food Mart 4 U,Bergen,C+,0,162475.4147,9,4.8,20,44511003,1,0,252667,"1,500 - 2,499",29,85629.45455,942512.0545,2019
69 W Broad St,Franklin Riggins,Cumberland,C+,0,76474.83443,35,4.2,71,44512001,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
115 Town Square Pl,Fresca Gourmet,Hudson,C+,0,145766.463,48,3.5,23,44511003,1,0,230667,"1,500 - 2,499",52,65296.05455,685991.5091,2019
57 Elm St,Fresh Bui,Union,C+,0,184281.8088,25,4.9,22,44511007,1,0,240200,"2,500 - 4,999",26,68219,562057.7636,2019
201 E Broad St,Fresh Farm Market,Burlington,C+,0,95492.08903,71,4.1,10,44511003,1,0,236500,"1 - 1,499",33,62081.52727,445855.6545,2019
855 Industrial Hwy,Galaxy Foods,Burlington,C+,0,334222.3116,3,5,22,44511003,1,0,236286,"5,000 - 9,999",28,62081.52727,445855.6545,2019
87 N Beverwyck Rd,Gene's III,Morris,C+,0,104194.4848,39,3.9,12,44511003,1,0,264500,"2,500 - 4,999",8,99047.49091,495913.1091,2019
350 Ramapo Valley Rd # 12,Giant Farmers Market,Bergen,C+,0,108316.9431,198,4.5,18,44511003,1,0,252500,"5,000 - 9,999",9,85629.45455,942512.0545,2019
19 Wyckoff Ave,Giant Farmers Market,Bergen,U,0,108316.9431,319,4.4,11,44511003,1,0,252500,"1 - 1,499",16,85629.45455,942512.0545,2019
87 N Beverwyck Rd,Gene's III,Morris,C+,0,104194.4848,39,3.9,12,44511003,1,0,264500,"2,500 - 4,999",8,99047.49091,495913.1091,2019
350 Ramapo Valley Rd # 12,Giant Farmers Market,Bergen,C+,0,108316.9431,198,4.5,18,44511003,1,0,252500,"5,000 - 9,999",9,85629.45455,942512.0545,2019
19 Wyckoff Ave,Giant Farmers Market,Bergen,U,0,108316.9431,319,4.4,11,44511003,1,0,252500,"1 - 1,499",16,85629.45455,942512.0545,2019
701 N Black Horse Pike,Glutenfree Grocer,Gloucester,C,0,83017.30907,1,5,32,44511003,1,0,159000,"2,500 - 4,999",5,54928.12727,292277.1455,2019
209 S New Rd,Gokul Indian Supermarket,Atlantic,B,0,148854.972,256,4.5,15,44511003,1,0,264500,"1 - 1,499",7,48563.56364,266207.8,2019
211 Morris Ave,Gold Valley Supermarket,Union,C,0,73712.72353,347,4.1,45,44511003,1,0,240500,"2,500 - 4,999",22,68219,562057.7636,2019
353 Wolfert Station Rd,Grasso Girls Farm Market,Gloucester,B+,0,498103.8544,103,4.5,14,44511003,1,0,158583,"2,500 - 4,999",1,54928.12727,292277.1455,2019
225 Kinderkamack Rd,Great Foods Market,Bergen,B,0,270792.3579,23,4.4,9,72232001,1,-0.749206349,63200,"1 - 1,499",19,85629.45455,942512.0545,2019
358 Millburn Ave # E,Green Nectar Juicery,Essex,C+,0,70091.07877,24,4.2,9,44511003,1,0,243000,"2,500 - 4,999",18,67268.47273,799220.5636,2019
1824 Whitehorse Mercerville Rd,Gsfm Corp,Mercer,C,0,112471.5628,59,4.5,30,44719005,1,0,234667,"1 - 1,499",13,69383.27273,370297.8364,2019
351 Haledon Ave,Haledon CITGO,Passaic,B,0,119493.9971,40,3.8,35,81111104,1,0,120333,"1 - 1,499",17,51091.4,506323.1818,2019
22 Marshall Hill Rd,Harvest Moon Health,Passaic,C+,0,79662.6647,10,5,10,44511007,1,0,208000,"1,500 - 2,499",1,51091.4,506323.1818,2019
413 Lafayette Ave,Hawthorne Convenience Store,Passaic,C,0,79662.6647,3,4.7,13,44512001,1,0,208000,"1,500 - 2,499",18,51091.4,506323.1818,2019
35 Riveredge Rd # B,Healthway Natural Food Ctr,Bergen,C+,0,108316.9431,18,4.9,10,44619103,1,0,119500,"1 - 1,499",19,85629.45455,942512.0545,2019
20 Main St,High Bridge Farmers Mkt & Groc,Hunterdon,C+,0,226529.4921,4,3,4,44511003,0,0,224800,"1,500 - 2,499",1,89151.38182,123816.5273,2019
702 Chancellor Ave,Hind Hing,Essex,C+,0,70091.07877,7,5,220,44511003,1,0,243000,"1,500 - 2,499",26,67268.47273,799220.5636,2019
331 Tilton Rd # 26,Honeytree,Atlantic,B,0,186068.715,27,4.6,10,44619103,1,0,104800,"5,000 - 9,999",10,48563.56364,266207.8,2019
331 Tilton Rd # 26,Honeytree,Atlantic,B,0,186068.715,27,4.6,10,44619103,1,0,104800,"5,000 - 9,999",10,48563.56364,266207.8,2019
60 Congress St,I Castillo Grocery Corp,Hudson,C,0,97177.64201,17,4.5,110,44511003,1,0,230500,"1 - 1,499",49,65296.05455,685991.5091,2019
744 Anderson Ave,Ilayda Market Place,Bergen,C,0,270792.3579,157,4.4,30,44511003,1,0,63200,"1 - 1,499",56,85629.45455,942512.0545,2019
583 Avenue C,Inserra Inc,Hudson,C,0,97177.64201,20,4.4,106,44511003,0,0,230500,"1,500 - 2,499",18,65296.05455,685991.5091,2019
676 Franklin Blvd,Island Breeze,Somerset,B,0,249222.5499,177,4,81,72251117,1,0,61600,"1,500 - 2,499",10,104293.2182,333893.1455,2019
1901 River Ave,J E Mini Market Corp,Camden,C,0,81897.89896,1,5,69,44512001,1,0,221500,"1 - 1,499",29,54218.50909,505016.4182,2019
155 Gatzmer Ave,Jamesburg Deli & Grocery,Middlesex,B,0,122921.0121,14,3.9,36,44511003,1,0,229000,"1,500 - 2,499",2,61266.49091,835785.1818,2019
1901 River Ave,J E Mini Market Corp,Camden,C,0,81897.89896,1,5,69,44512001,1,0,221500,"1 - 1,499",29,54218.50909,505016.4182,2019
3 N Burlington Rd,Jarochos Food Mart,Cumberland,C+,0,76474.83443,1,5,71,44511003,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
764 Chancellor Ave,Jason Liquors,Essex,B,0,70091.07877,6,4.2,220,44531004,1,0,322000,"1 - 1,499",26,67268.47273,799220.5636,2019
421 S Delsea Dr,Jenny's Supermarket,Cumberland,C+,0,114712.2516,4,5,92,44512001,1,0,238667,"1 - 1,499",8,40115.8,151919.2,2019
1820 Lanes Mill Rd # A,Jersey Farms,Ocean,B+,0,644587.6943,67,4.1,30,44511003,1,0,258563,"10,000 - 19,999",9,52010.14545,600689.8727,2019
2540 Hooper Ave,Jersey Farms,Ocean,B+,0,402867.3089,35,4.7,49,44511003,1,0,258600,"5,000 - 9,999",6,52010.14545,600689.8727,2019
642 Newman Springs Rd # J,Jersey Pride Convenience Store,Monmouth,C+,0,76248.34021,6,5,7,44512001,1,0,229000,"1,500 - 2,499",9,79548.29091,621279.6364,2019
