Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,Year
105 Ferry Ave,Ferry Supermarket,Camden,C+,0,81897.89896,104,4.2,29,44512001,1,0,221500,"1,500 - 2,499",26,54218.50909,505016.4182,2019
5500 Bergenline Ave,Fiesta Supermarket,Hudson,B+,0,485888.2101,325,4.1,149,44511003,1,0,230400,"5,000 - 9,999",59,65296.05455,685991.5091,2019
2303 Bergenline Ave,Five Family Grocery,Hudson,B,0,242944.105,1,3,210,44511003,0,0,230400,"1,500 - 2,499",55,65296.05455,685991.5091,2019
5500 Bergenline Ave,Fiesta Supermarket,Hudson,B+,0,485888.2101,325,4.1,149,44511003,1,0,230400,"5,000 - 9,999",59,65296.05455,685991.5091,2019
684 Bergen Blvd # 4,Food Center,Bergen,C+,0,108316.9431,3,4.7,19,44511003,0,0,252500,"2,500 - 4,999",48,85629.45455,942512.0545,2019
220 N Main St,Food Market Cedar,Atlantic,B,0,111641.229,85,4.1,59,44511003,1,0,264667,"1 - 1,499",7,48563.56364,266207.8,2019
24-28 Fair Lawn Ave,Food Showcase,Bergen,B,0,216633.8863,82,4.4,23,44511003,1,0,252500,"1 - 1,499",20,85629.45455,942512.0545,2019
31 Vreeland Ave,Food Specialties Trading,Passaic,C+,0,79662.6647,8,4.5,12,44511003,1,0,208000,"1,500 - 2,499",18,51091.4,506323.1818,2019
1346 Highway 77,Franco's Market,Cumberland,B+,0,229424.5033,35,4.6,71,44511003,1,0,238667,"1,500 - 2,499",2,40115.8,151919.2,2019
3300 River Rd,Frank's,Camden,B,0,163795.7979,76,4.2,69,44511003,1,0,221500,"1 - 1,499",29,54218.50909,505016.4182,2019
1346 Highway 77,Franco's Market,Cumberland,B+,0,229424.5033,35,4.6,71,44511003,1,0,238667,"1,500 - 2,499",2,40115.8,151919.2,2019
289 Bergen Blvd,Freshway Supermarket 1946,Bergen,A,0,1083169.431,326,3.8,34,44511003,1,0,252350,"10,000 - 19,999",55,85629.45455,942512.0545,2019
165 Werimus Rd,Fusco's Market,Bergen,C+,0,54158.47157,14,5,4,44511003,1,0,253000,"1,500 - 2,499",13,85629.45455,942512.0545,2019
911 Charles Dr,Garcia's Deli & Grocery,Ocean,U,0,120860.1927,13,5,79,72251117,1,0,53000,"1 - 1,499",8,52010.14545,600689.8727,2019
244 W Passaic St # 244,Glass Gardens Inc,Bergen,C+,0,108316.9431,6,3.2,13,44511003,1,0,252500,"1,500 - 2,499",24,85629.45455,942512.0545,2019
3912 Ventnor Ave,Goodies & Groceries,Atlantic,C,0,74427.48599,12,4.9,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
2119 Whitesville Rd # 10,Green Valley Gyro Grill,Ocean,C+,0.5,120860.1927,160,4.4,32,44511003,1,0.498069498,258667,"2,500 - 4,999",8,52010.14545,600689.8727,2019
55 Main St # 1,Healthy Italia,Morris,C+,0,156291.7271,24,4.9,7,44511003,1,0,264333,"1,500 - 2,499",14,99047.49091,495913.1091,2019
740 Grand St,Herbal Tea House,Hudson,C,0,48588.82101,149,4.7,118,44511007,1,0,231000,"1 - 1,499",32,65296.05455,685991.5091,2019
600 Fischer Blvd,Hometown Food Mart,Ocean,C,0,40286.73089,92,5,79,44512001,1,0,259000,"1,500 - 2,499",8,52010.14545,600689.8727,2019
1 Hamburg Tpke,Huber's Automotive,Morris,C+,0,104194.4848,13,4.9,9,44719005,1,0,1259000,"1 - 1,499",6,99047.49091,495913.1091,2019
600 Fischer Blvd,Hometown Food Mart,Ocean,C,0,40286.73089,93,5,79,44512001,1,0,259000,"1,500 - 2,499",8,52010.14545,600689.8727,2019
1 Hamburg Tpke,Huber's Automotive,Morris,C+,0,104194.4848,13,4.9,9,44719005,1,0,1259000,"1 - 1,499",6,99047.49091,495913.1091,2019
35 S White Horse Pike,India Bazaar,Camden,B+,0,327591.5959,291,4.4,9,44511003,1,0,221500,"2,500 - 4,999",20,54218.50909,505016.4182,2019
223 Martin Luther King Jr Dr,J C Kosher Supermarket Inc,Hudson,U,0,48588.82101,63,4.7,166,44511003,1,0,231000,"1 - 1,499",21,65296.05455,685991.5091,2019
59 Lewis St,J Q National Distributors,Passaic,C+,0,79662.6647,38,4.8,180,44512001,1,0,208000,"1,500 - 2,499",20,51091.4,506323.1818,2019
80 Kinderkamack Rd,J Wellness Shop,Bergen,C,0,270792.3579,7,4.7,9,44511007,1,0,252400,"2,500 - 4,999",19,85629.45455,942512.0545,2019
201 Spring St,Jaquez Deli Market,Mercer,C+,0,112471.5628,2,4.5,50,44511003,1,0,234667,"1,500 - 2,499",6,69383.27273,370297.8364,2019
80 Kinderkamack Rd,J Wellness Shop,Bergen,C,0,270792.3579,7,4.7,9,44511007,1,0,252400,"2,500 - 4,999",19,85629.45455,942512.0545,2019
5006 US-130 #3,JL Supermarket,Burlington,C,0,95492.08903,95,4.8,36,44511003,1,0,236500,"1 - 1,499",23,62081.52727,445855.6545,2019
726 Mola Blvd,Kennie's Food Store,Bergen,C,0,108316.9431,3,2,21,44511003,1,0,252500,"1 - 1,499",25,85629.45455,942512.0545,2019
708 US Highway 46,Kenvil Novelty,Morris,C+,0,104194.4848,2,5,7,44512001,1,0,264500,"1 - 1,499",9,99047.49091,495913.1091,2019
142 US Highway 46 # A,Khan Market,Morris,B,0,208388.9695,135,3.8,60,44511003,1,0,264250,"1 - 1,499",13,99047.49091,495913.1091,2019
86 E Main St,Kings Super Mar,Morris,C+,0,104194.4848,185,4.1,5,54141003,1,0,141500,"2,500 - 4,999",3,99047.49091,495913.1091,2019
4229 Ventnor Ave,Kk Grocery,Atlantic,C,0,37213.743,14,3.9,159,44511003,1,0,265000,"1,500 - 2,499",3,48563.56364,266207.8,2019
202 Easton Ave,Knight's Deli,Middlesex,C,0,40973.6707,51,4.4,93,44511003,1,0,229000,"1 - 1,499",20,61266.49091,835785.1818,2019
714 Hamburg Tpke,Krauser's,Passaic,B,0,119493.9971,3,4.7,9,44511003,1,0,207667,"1 - 1,499",9,51091.4,506323.1818,2019
100 Elmora Ave,LA Bottega Dei Sapori,Union,C+,0,147425.4471,25,4.3,67,72251117,1,0,59500,"1 - 1,499",28,68219,562057.7636,2019
800 N New Rd,LA Canasta,Atlantic,C+,0,111641.229,42,3.9,59,44511003,1,0,264667,"2,500 - 4,999",7,48563.56364,266207.8,2019
2401 Atlantic Ave # A,LA Cosecha II LLC,Atlantic,C+,0,74427.48599,51,4.3,159,44511003,1,0,264500,"1 - 1,499",3,48563.56364,266207.8,2019
26 Kearny Ave,LA Mexicanita II LLC,Hudson,C+,0,97177.64201,4,4.8,47,44511003,1,0,230500,"1,500 - 2,499",20,65296.05455,685991.5091,2019
900 Haddonfield Rd # 4,LA Placita Poblana,Camden,C+,0,81897.89896,27,4.4,48,44511003,1,0,221500,"2,500 - 4,999",25,54218.50909,505016.4182,2019
1319 Summit Ave,LA Sorpresa Supermarket,Hudson,B+,0,291532.926,74,3.9,210,44511003,1,0,230500,"1,500 - 2,499",55,65296.05455,685991.5091,2019
186 Broadway,LA Valentina,Monmouth,C+,0,76248.34021,280,3.8,42,44511003,1,0,229000,"1,500 - 2,499",7,79548.29091,621279.6364,2019
2303 Bergenline Ave,Las Cinco Familias,Hudson,C+,0,97177.64201,6,5,210,44511003,1,0,230500,"1,500 - 2,499",55,65296.05455,685991.5091,2019
11 S Essex St,Latino Americano Super Market,Morris,C+,0,156291.7271,244,4.4,23,44511003,1,0,264333,"1,500 - 2,499",10,99047.49091,495913.1091,2019
279 Harrison Ave,Latona's Specialty Foods LLC,Bergen,C+,0,108316.9431,56,4.8,37,45221003,1,0,208000,"2,500 - 4,999",30,85629.45455,942512.0545,2019
120 N Laurel St,Laurel Mini-Market,Cumberland,B,0,114712.2516,80,3.9,71,44512001,1,0,238667,"1,500 - 2,499",2,40115.8,151919.2,2019
864 N Lenola Rd,Lews Farm Market LLC,Burlington,B,0,190984.1781,80,4.8,22,44511003,1,0,236250,"1 - 1,499",24,62081.52727,445855.6545,2019
1212 Washington St,Little Grocery Uptown,Hudson,C,0,97177.64201,96,4.5,65,44511003,1,0,230500,"1,500 - 2,499",54,65296.05455,685991.5091,2019
401 Baltimore St,Lopatcong Quickmart,Warren,C+,0,100279.1495,7,4.4,46,44512001,0,0,234333,"1,500 - 2,499",5,55860.87273,105169.1091,2019
1017 State Route 36 # 1,Lucky 7 Deli & Food Store,Monmouth,C+,0,76248.34021,29,3.9,31,44512001,1,0,229000,"2,500 - 4,999",11,79548.29091,621279.6364,2019
2616 River Ave,Luis Records,Camden,B,0,204744.7474,365,4.6,69,44512001,1,0,221600,"1,500 - 2,499",29,54218.50909,505016.4182,2019
525 N Main St,Main Street Pleasantville LLC,Atlantic,C+,0,74427.48599,23,3.7,59,44511003,1,0,264500,"1,500 - 2,499",7,48563.56364,266207.8,2019
1609 W Main St,Main Street Supermarket,Cumberland,A,0,1032410.265,284,3.9,35,44511003,1,0,238630,"5,000 - 9,999",4,40115.8,151919.2,2019
300 Sicomac Ave # 2,Market Basket,Bergen,B+,0,487426.2442,84,4.6,6,44511003,1,0,252444,"5,000 - 9,999",15,85629.45455,942512.0545,2019
1267 Ringwood Ave,Meating Place,Passaic,C+,0,39831.33235,30,4.9,9,44521006,1,0,175000,"1 - 1,499",7,51091.4,506323.1818,2019
1960 N Olden Avenue Ext,Mecca Halal Meat,Mercer,C+,0,112471.5628,82,4.1,50,44511003,1,0,234667,"1,500 - 2,499",6,69383.27273,370297.8364,2019
807 Elizabeth Ave,Mexico Lindo Dely Grocery,Union,C,0,147425.4471,18,4.2,122,44511003,1,0,240250,"1,500 - 2,499",25,68219,562057.7636,2019
453 Ramapo Valley Rd,Mini Mart,Bergen,C+,0,108316.9431,18,4.4,18,44512001,1,0,252500,"1,500 - 2,499",9,85629.45455,942512.0545,2019
627 Newark Ave,Moloney's Meat Market,Hudson,C+,0,145766.463,63,4.8,200,72251117,1,0,54333,"1 - 1,499",39,65296.05455,685991.5091,2019
77 Ferry St,Mompou Tapas Wine Bar & Lounge,Essex,B+,0,525683.0908,710,4.4,106,72251117,1,0,59533,"2,500 - 4,999",19,67268.47273,799220.5636,2019
420 State Route 34,Mulberry Market,Monmouth,C+,0,114372.5103,3,5,6,44511003,1,0,229000,"2,500 - 4,999",1,79548.29091,621279.6364,2019
74 Martin Luther King Jr Dr,My City 2,Hudson,C+,0,97177.64201,20,4.4,166,44511003,0,0,230500,"1 - 1,499",21,65296.05455,685991.5091,2019
38 Carr Ave,Nappy's,Monmouth,C+,0,228745.0206,79,4.6,16,72251117,1,0,56833,"1,500 - 2,499",9,79548.29091,621279.6364,2019
2001 College Dr # 1,Natural Health,Camden,B+,0,532336.3433,83,4.6,54,62199921,1,0,87308,"10,000 - 19,999",16,54218.50909,505016.4182,2019
383 Brick Blvd,Natures Nutrition,Ocean,B,0,201433.6545,33,4.9,49,44511007,1,0,258600,"5,000 - 9,999",6,52010.14545,600689.8727,2019
745 Newark Ave,New Hilsa Grocery Store,Hudson,C,0,97177.64201,30,4.4,200,44511003,1,0,230500,"1,500 - 2,499",39,65296.05455,685991.5091,2019
1935 Greenwood Ave,New Jersey African-Carribean,Mercer,C+,0,112471.5628,162,4.5,39,44511003,1,0,234667,"1 - 1,499",8,69383.27273,370297.8364,2019
415 Ocean Ave,Ocean Grocery & Chicken LLC,Hudson,C+,0,194355.284,4,4.8,166,72231009,1,0,54250,"1 - 1,499",21,65296.05455,685991.5091,2019
516 Main St,Olive May Health Foods,Essex,B,0,140182.1575,55,4.1,92,44511003,1,0,242750,"1 - 1,499",15,67268.47273,799220.5636,2019
53 Palmer Sq W,Olson's Fine Foods,Mercer,B,0,337414.6884,50,4.7,11,44511003,1,0,234556,"5,000 - 9,999",7,69383.27273,370297.8364,2019
107 Route 50,Om Oasis Market Inc,Cape May,C+,0,171046.7346,54,4.5,10,44512001,1,0,408200,"2,500 - 4,999",2,61476.94545,92193.6,2019
333 Sicklerville Rd,One Stop Shoppe,Camden,C+,0,81897.89896,12,4.1,32,44512001,1,0,221500,"1,500 - 2,499",11,54218.50909,505016.4182,2019
219 Kinderkamack Rd,Oradel Mini Market & Deli,Bergen,B,0,162475.4147,17,2.8,9,44512001,1,0,252667,"1 - 1,499",19,85629.45455,942512.0545,2019
68 S 30th St,Otala Grocery Store,Camden,B,0,122846.8484,17,4.1,69,44511003,1,0,221667,"1,500 - 2,499",29,54218.50909,505016.4182,2019
1009 Pacific Ave,Pacific Food Market,Atlantic,C+,0,111641.229,6,2.2,159,44511003,1,0,264667,"1 - 1,499",3,48563.56364,266207.8,2019
105 Park Ave # 1,Park Avenue Foodmarket,Essex,C+,0,70091.07877,273,4.7,158,44511003,1,0,243000,"1 - 1,499",17,67268.47273,799220.5636,2019
700 Black Horse Pike,Patels Grocery,Atlantic,C,0,74427.48599,109,3.9,59,44511003,1,0,264500,"2,500 - 4,999",7,48563.56364,266207.8,2019
3005 Atlantic Ave,Pattys Farm Market,Atlantic,C+,0,74427.48599,5,4.6,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
990 S West Blvd,Penalvert's Food Market,Cumberland,C+,0,114712.2516,186,4.6,92,44511003,1,0,238667,"1 - 1,499",8,40115.8,151919.2,2019
323 E Jimmie Leeds Rd,Pitney Italian Mkt,Atlantic,C+,0,74427.48599,42,4.7,32,44511003,1,0,264500,"2,500 - 4,999",4,48563.56364,266207.8,2019
144 Philadelphia Ave,Plaza Mexicana LLC,Atlantic,C,0,74427.48599,10,4.3,20,44511003,1,0,264500,"1 - 1,499",0,48563.56364,266207.8,2019
962 County Rt 517,Pochuck Valley Farm Market,Sussex,B,0,165510.0889,179,4.5,2,45322012,1,0,85600,"1,500 - 2,499",1,61649.29091,139335,2019
452 W Side Ave,Primicia LA,Hudson,C,0,48588.82101,323,4,118,44511003,1,0,231000,"1 - 1,499",32,65296.05455,685991.5091,2019
1054 Delsea Dr,Puff N Go,Gloucester,U,0,83017.30907,6,2.7,20,44512001,1,0,159000,"1,500 - 2,499",23,54928.12727,292277.1455,2019
600 Highland Dr # 602,Purest Colloids,Burlington,B,0,429714.4006,2,4,43,44511003,1,0,236333,"2,500 - 4,999",6,62081.52727,445855.6545,2019
1935 Swarthmore Ave # 1,Quality Provision,Ocean,C,0,80573.46178,8,4.3,84,44511003,1,0,259000,"2,500 - 4,999",10,52010.14545,600689.8727,2019
814 Amboy Ave,Quick Stop Deli,Middlesex,C+,0,81947.3414,76,4.9,98,44511003,1,0,229000,"1 - 1,499",12,61266.49091,835785.1818,2019
179 Goffle Rd,Quick Stop Ready Mix Concrete,Passaic,C+,0,79662.6647,5,4.2,13,44512001,1,0,208000,"1,500 - 2,499",18,51091.4,506323.1818,2019
1 Randolph St # B,Quick Strip LLC,Middlesex,C,0,81947.3414,43,5,28,44512001,1,0,229000,"1 - 1,499",18,61266.49091,835785.1818,2019
